title,addr1,mapx,mapy,contenttypeid
감못(부지),경상북도 경산시 감못둑길 20 (갑제동),128.7670624312,35.8351021080,12
감사공묘역,제주특별자치도 제주시 조천읍 함대로 362,126.6611469938,33.5129949735,12
감삼못공원,대구광역시 서구 서대구로3길 43,128.5522334637,35.8586426972,12
감성공작소,강원특별자치도 삼척시 대학로 13-1 (당저동),129.1631079016,37.4423790237,12
감수굴 밭담길,제주특별자치도 제주시 구좌읍 평대7길 34,126.8432807691,33.5310570194,12
감악산 출렁다리,경기도 파주시 적성면 설마천로 273-9,126.9446579202,37.9390158074,12
감악산(거창),경상남도 거창군 남상면 무촌리 산295번지 일원(신원면 구사리 산12-1 인근),127.9295566252,35.5964221995,12
감악산(원주),강원특별자치도 원주시 신림면 황둔리,128.1500300952,37.2330309839,12
감악산(파주),경기도 파주시 적성면 감골길 48,126.9520635715,37.9121440779,12
감악산항노화웰니스체험장,경상남도 거창군 신원면 연수사길 456,127.9199604172,35.5901644033,12
감응사(경북),경상북도 성주군 월항면 대산1길 234,128.3325146302,35.9347328236,12
감중공원,인천광역시 서구 가정로98번길 18,126.6736203249,37.4932378921,12
감지해변,부산광역시 영도구 감지길 110,129.0764900502,35.0625336062,12
감천계곡,경상남도 창원시 마산회원구 내서읍 신감리,128.5126162513,35.1919088150,12
감천사(부산),부산광역시 연제구 묘봉산로 40,129.0912632411,35.1833036953,12
감천항,부산광역시 서구 원양로 6,129.0128152394,35.0547971892,12
감추사,강원특별자치도 동해시 해안로 120,129.1265089534,37.5146783131,12
감추해변,강원특별자치도 동해시 해안로 120,129.1267839259,37.5147838622,12
감포선착장,경상북도 경주시 감포읍 감포리,129.5058290705,35.8050416232,12
감포항,경상북도 경주시 감포읍 감포로,129.5040374805,35.8078329413,12
감포해상공원,경상북도 경주시 감포로2길 93,129.5048652927,35.8041139317,12
갑곶돈대,인천광역시 강화군 강화읍 해안동로1366번길 18,126.5171140395,37.7335377029,12
갑곶순교성지,인천광역시 강화군 강화읍 해안동로1366번길 35,126.5174945418,37.7341959658,12
갑사,충청남도 공주시 계룡면 갑사로 567-3,127.1875769727,36.3650187978,12
갑사계곡,충청남도 공주시 계룡면 갑사로 225,127.1822106747,36.3691793379,12
갑선이오름,제주특별자치도 서귀포시 표선면 가시로592번길,126.7810400382,33.3621052416,12
갑오동학혁명 100주년 기념탑,전북특별자치도 정읍시 내장호반로 214,126.9002222297,35.5097335146,12
갑장산,경상북도 상주시 지천1길 215-187 (지천동),128.1854578261,36.3480497887,12
갑천,대전광역시 유성구 봉명동,127.3687079109,36.3675467104,12
갓바위 문화타운,전라남도 목포시 남농로 135,126.4209824186,34.7936564349,12
강경 구 연수당 건재 약방,충청남도 논산시 강경읍 옥녀봉로24번길 12-1,127.0184336426,36.1620223920,12
강경 옥녀봉,충청남도 논산시 강경읍 북옥리,127.0119397028,36.1649080602,12
강경 중앙초등학교 강당,충청남도 논산시 강경읍 옥녀봉로 8,127.0191725131,36.1602309428,12
강경구락부,충청남도 논산시 강경읍 계백로167번길 46-11,127.0155005764,36.1618473607,12
강경근대거리,충청남도 논산시 강경읍 옥녀봉로 30-5,127.0178753661,36.1617724110,12
강경미내다리,충청남도 논산시 채운면 삼거리,127.0319493430,36.1528570080,12
강경역사관,충청남도 논산시 강경읍 계백로167번길 50,127.0152089296,36.1620834404,12
강경역사문화안내소(구 강경노동조합),충청남도 논산시 강경읍 옥녀봉로27번길 30-5,127.0146367865,36.1610252177,12
강구안,경상남도 통영시 중앙동,128.4242054351,34.8436462512,12
강구안 보도교,경상남도 통영시 동호동,128.4267219331,34.8417381765,12
강구항,경상북도 영덕군 강구면 강구리 253-51,129.3900036722,36.3592989277,12
강나루생태공원,경상남도 함안군 칠서면 삼칠로 1235-50,128.5092306571,35.3898253912,12
강남,서울특별시 강남구 역삼동,127.0281573537,37.4970465429,12
강남 마이스 관광특구,서울특별시 강남구 영동대로 513,127.0591318945,37.5118092746,12
강남축구공원,강원특별자치도 강릉시 남부로 222 (노암동),128.9074798939,37.7436587117,12
강당골 산촌체험관,충청남도 아산시 송악면 강당로 187-5,127.0158578756,36.7170392576,12
강당골계곡,충청남도 아산시 송악면 강당리 강당골,127.0221465167,36.7053240494,12
강댕이 미륵불,충청남도 서산시 운산면 마애삼존불길 18-1,126.6025046578,36.7778111433,12
강덕사,전라남도 강진군 군동면 호라길 199-39,126.8026827060,34.6544228340,12
강동 워터파크,경상북도 경주시 보불로 391 (천군동),129.3056850979,35.8179335881,12
강동 해수온천,울산광역시 북구 동해안로 1418,129.4505699154,35.6138565417,12
강동 화암 주상절리,울산광역시 북구 산하동 952-1번지 일원,129.4424755991,35.6341985442,12
강동리조트 프라이빗콘도,경상북도 경주시 보불로 391,129.2952942021,35.8228050635,12
강동몽돌해변,울산광역시 북구 산하동,129.4423980082,35.6278381472,12
강동사랑길,울산광역시 북구 구유동,129.4519308655,35.6153425111,12
강동예찬시비,서울특별시 강동구 천호동,127.1207004140,37.5426873535,12
강따라 방림 가는길,강원특별자치도 평창군 대화면 가평로 181-8,128.4586570232,37.4496840341,12
강릉 3.1운동 기념공원,강원특별자치도 강릉시 저동,128.9002177764,37.7972995865,12
강릉 경포대,강원특별자치도 강릉시 경포로 365,128.8965126086,37.7955691591,12
강릉 경포해수욕장,강원특별자치도 강릉시 창해로 514,128.9074446419,37.8057293080,12
강릉 굴산사지,강원특별자치도 강릉시 구정면 학산리,128.8918046506,37.7072681694,12
강릉 남산공원,강원특별자치도 강릉시 노암동,128.8934282457,37.7480551515,12
강릉 녹색도시체험센터,강원특별자치도 강릉시 강릉대로 33,128.8758158157,37.7521848860,12
강릉 대공산성,강원특별자치도 강릉시 성산면 보현길 396,128.7693064482,37.7366262830,12
강릉 대기리마을,강원특별자치도 강릉시 왕산면 왕산로 1327,128.7776435739,37.5883185884,12
강릉 대도호부 관아,강원특별자치도 강릉시 임영로131번길 6,128.8921226461,37.7532767444,12
강릉 명주동 거리,강원특별자치도 강릉시 명주동,128.8927254362,37.7511381142,12
강릉 모래내 한과마을(갈골한과),강원특별자치도 강릉시 사천면 한과마을길 20,128.8328344506,37.8138296931,12
강릉 방동리 무궁화,강원특별자치도 강릉시 사천면 가마골길 22-8,128.8639367794,37.8274342795,12
강릉 복사꽃마을,강원특별자치도 강릉시 신리천로 527-3 복사꽃정보마을센타,128.7773762919,37.8801348222,12
강릉 선교장,강원특별자치도 강릉시 운정길 63,128.8850778068,37.7865588677,12
강릉 솔향수목원,강원특별자치도 강릉시 구정면 수목원길 156,128.8617409792,37.6979158879,12
강릉 수리골 고택,강원특별자치도 강릉시 운정길 125,128.8911356052,37.7862090263,12
강릉 안목해맞이공원,강원특별자치도 강릉시 견소동,128.9451477738,37.7743308995,12
강릉 오금집,강원특별자치도 강릉시 강릉대로210번길 23-9 (임당동),128.8940418219,37.7563708685,12
강릉 오죽헌,강원특별자치도 강릉시 율곡로3139번길 24,128.8776814918,37.7787651808,12
강릉 월화거리,강원특별자치도 강릉시 금성로11번길 9,128.8974470859,37.7559015445,12
강릉 임영관 삼문,강원특별자치도 강릉시 임영로131번길 6,128.8917699042,37.7531378647,12
강릉 통일공원,강원특별자치도 강릉시 율곡로 1715-38 통일안보전시관,128.9984085388,37.7204603916,12
강릉 한복 문화 창작소,강원특별자치도 강릉시 동부시장3길 9 (옥천동),128.9006133766,37.7588151581,12
강릉 한울타리마을,강원특별자치도 강릉시 옥계면 북동용소길 137,128.9747778772,37.6128390281,12
강릉 해살이마을,강원특별자치도 강릉시 사천면 중앙서로 557-1,128.8109759564,37.7929261321,12
강릉 해운정,강원특별자치도 강릉시 운정길 125,128.8911356052,37.7862090263,12
강릉수월래,강원특별자치도 강릉시 죽헌길9번길 17 (유천동),128.8737571477,37.7690162327,12
강릉시강남축구공원,강원특별자치도 강릉시 남부로 226 (노암동),128.9062745042,37.7418033471,12
강릉아기동물농장,강원특별자치도 강릉시 해안로 1121-144,128.8611225614,37.8462598232,12
강릉아트센터,강원특별자치도 강릉시 종합운동장길 84,128.8954273345,37.7716996777,12
강릉안반데기관광농원,강원특별자치도 강릉시 안반데기1길 203,128.7400518871,37.6087932748,12
