title,addr1,mapx,mapy,eventstartdate,eventenddate
동래읍성역사축제,부산광역시 동래구 문화로 80,129.0901347694,35.2121421097,20251024,20251026
드림파크 국화축제,인천광역시 서구 자원순환로 170 (백석동),126.6481259803,37.5731448144,20251024,20251102
드림파크 벚꽃축제,인천광역시 서구 자원순환로 170 (백석동),126.6481259803,37.5731448144,20250409,20250415
땅끝 해넘이해맞이축제,전라남도 해남군 송지면 땅끝마을길 42,126.5273792771,34.2998830369,20241231,20250101
라라라 페스티벌,부산광역시 금정구 장전온천천로 48 (장전동),129.0893371356,35.2296540211,20251024,20251026
렛츠런파크 서울 벚꽃축제,경기도 과천시 경마공원대로 107 (주암동),127.0086495110,37.4441273360,20250404,20250413
릴랙스위크,서울특별시 강남구 남부순환로 3104 SETEC,127.0707673919,37.4960890861,20250317,20250430
마노르블랑 동백꽃 감귤체험 축제,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,126.2949957149,33.2548510403,20241205,20250131
마노르블랑 루피너스 꽃향기축제,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,126.2949957149,33.2548510403,20250318,20250504
마토예술제,경기도 평택시 팽성읍 안정쇼핑로 11,127.0441570141,36.9596645817,20250426,20250426
마포구 레드로드발전소 체험프로그램,서울특별시 마포구 와우산로37길 35 (동교동),126.9290369242,37.5564989709,20241220,20250208
마한역사문화제,전라남도 영암군 시종면 옥야리,126.5866347653,34.8954032580,20250418,20250419
"명동스퀘어 오프닝 세레모니 2024 Light Up SEOUL, KOREA",서울특별시 중구 소공로 70 (충무로1가),126.9821847125,37.5616521023,20241101,20250131
목포뮤직플레이,전라남도 목포시 대양산단로 23 (대양동),126.3969504197,34.8263995748,20250523,20250525
무브살롱 시즌4: 벚꽃 아틀리에,서울특별시 서초구 양재동,127.0381848379,37.4751548200,20250403,20250406
무안 YD 페스티벌,전라남도 무안군 삼향읍 대죽서로16번길 16,126.4628227454,34.8111801483,20251114,20251116
무안 연꽃축제,전라남도 무안군 일로읍 백련로 333,126.5296684320,34.8601757301,20250626,20250629
무안 황토 갯벌축제,전라남도 무안군 해제면 황토갯벌길 88,126.3336521164,35.1022396210,20250510,20250525
무주국가유산야행,전북특별자치도 무주군 무주읍 한풍루로 326-5,127.6623693393,36.0040267475,20250613,20250614
무주반딧불축제,전북특별자치도 무주군 한풍루로 326-14 등나무운동장,127.6615222281,36.0026685539,20250906,20250914
무창포 주꾸미 도다리 대잔치,충청남도 보령시 웅천읍 열린바다1길 28,126.5355553599,36.2432492183,20250322,20250413
